,Epoch,CLARIFY Test AP,CLARIFY Test ROC,CLARIFY Test AUPRC
0,0,0.6460512874212903,0.6059702209693765,0.64559095313873
1,1,0.5549095062098602,0.5237284359747929,0.5545145072277418
2,2,0.49305489043576856,0.4859164055492784,0.671251658537108
3,3,0.5436654371816838,0.5208549313329217,0.5431896515084367
4,4,0.5498796189604125,0.5237386282892055,0.5494800090845118
5,5,0.6884786803501382,0.6904914442800731,0.688206799256181
6,6,0.6486637734337606,0.6325444967326352,0.6483926636282245
7,7,0.6119817351084937,0.5887251889946301,0.6116741986571439
8,8,0.6945463798656812,0.6914997553844541,0.6943057202630882
9,9,0.7414181928777912,0.759698351174737,0.7411781553772465
10,10,0.7100586531497017,0.7179109541171127,0.7098077766854504
11,11,0.7099701871291033,0.7204604887651574,0.7097085624712941
12,12,0.7290796772163597,0.752292542720358,0.7288049251801023
13,13,0.74431571611106,0.7745074200048923,0.7440454064596862
14,14,0.7555322573591844,0.7849610944798425,0.7552881466169068
15,15,0.7635137810373959,0.7890984461088656,0.7632814546280882
16,16,0.7697782109136176,0.7915300411187085,0.7695490565710003
17,17,0.7751643544918426,0.7952597001712309,0.7749294989559743
18,18,0.7795709939478855,0.7992718319374716,0.7793328577742837
19,19,0.7840093683039431,0.8025668615825461,0.7838010231778895
20,20,0.7875647315577253,0.8047502009341984,0.7873709380033465
21,21,0.7901145518490251,0.8055051602231825,0.7899326519954852
22,22,0.7918198402961976,0.8056078113897658,0.791651278517251
23,23,0.7947549423005591,0.8067842956819532,0.7946015372996607
24,24,0.7975338966955555,0.8087361238919497,0.7973825827580007
25,25,0.8017096236155075,0.8123332828571097,0.8015621932166406
26,26,0.8072498918482282,0.8174920499947583,0.8071053608018626
27,27,0.813648246879867,0.8230803503826486,0.8135069867722539
28,28,0.8202955178650533,0.828651178231546,0.8201629837152041
29,29,0.8256764526421485,0.8337553436848419,0.8255519916482038
30,30,0.8295402977576685,0.8383761022260015,0.8294160082410643
31,31,0.8332796802684242,0.8425309263940174,0.833155470926964
32,32,0.836643875064112,0.8461535661452085,0.8365176226538688
33,33,0.8404213471789586,0.8499771400948177,0.8402952422996687
34,34,0.843981664475314,0.8538396632459319,0.8438528168324088
35,35,0.8468041957065569,0.8570200293538655,0.8466698581557883
36,36,0.8483732131007582,0.8590191790236346,0.8482347035344098
37,37,0.8496908068957119,0.860615732274109,0.8495537198030063
38,38,0.8505870874126928,0.8618169693298698,0.8504486746194286
39,39,0.8514210894832944,0.8629191953313377,0.8512835246222689
40,40,0.8529194093626332,0.8645834546704096,0.852786862425437
41,41,0.8544441774065678,0.8662695546832229,0.8543157290666116
42,42,0.855719550542847,0.8679614788757003,0.855591428722715
43,43,0.8568865643157406,0.869397139162949,0.8567604987206809
44,44,0.8580577400219866,0.8705641591631819,0.8579355348001955
45,45,0.8591366697687207,0.8715258768302484,0.8590144946394085
46,46,0.8605160562052391,0.8728319491199665,0.8603957206891057
47,47,0.8621197405917924,0.8739523756828851,0.8620070362658516
48,48,0.8636961713880194,0.8752686402870155,0.8635874199787461
49,49,0.8650997214241346,0.876225989819334,0.8649946311791705
50,50,0.8659722881996615,0.8762893277731831,0.8658727493400893
51,51,0.8669689395303372,0.8768681056273223,0.8668714397654691
52,52,0.8684014441134896,0.8775458945357546,0.8683103621583043
53,53,0.8701011001827759,0.8789131207119476,0.8700119491377315
54,54,0.8721256694388562,0.8806414460273271,0.8720391649418535
55,55,0.8739250665421301,0.8818128341623082,0.873841566904895
56,56,0.8751667111723442,0.8822066943121061,0.8750865677306785
57,57,0.8759994796744801,0.8825335763957647,0.8759205722093863
58,58,0.8769768981959253,0.883292175797039,0.8768984921001378
59,59,0.8792242180156562,0.8854263736327738,0.8791470116682456
60,60,0.8811863486244084,0.8875045137392397,0.8811094476432654
61,61,0.882046576810149,0.888596547426295,0.8819701268698618
62,62,0.8820566400316588,0.8886693496720985,0.8819803869418851
63,63,0.8825655464171992,0.8896186909573786,0.8824890810057967
64,64,0.8834491902107761,0.8909997495602744,0.883372347415472
65,65,0.8834207949905994,0.8918238709827722,0.8833423741676799
66,66,0.8843380366093702,0.8928183496604503,0.8842591631354332
67,67,0.8851966879834882,0.8934662896481029,0.8851164332601256
68,68,0.885463232458702,0.8935995177579239,0.8853817824630569
69,69,0.885079549200957,0.8933891192675512,0.884996410374392
70,70,0.8839138630688741,0.8928008771214576,0.8838285811943071
71,71,0.8831624106392653,0.8923225663665273,0.8830761246533662
72,72,0.8835513429228583,0.8926771133035912,0.8834655038373816
73,73,0.8850771392986869,0.8937560425864018,0.8849916833798324
74,74,0.8860654260864295,0.8943610292490303,0.8859800315506279
75,75,0.8859262979343338,0.8942154247574229,0.8858397104487102
76,76,0.8860133601774647,0.8941630071404443,0.8859281047538903
77,77,0.885724367360179,0.8941724714323986,0.8856400268551743
78,78,0.8854984120012729,0.8940494356369906,0.8854146639077622
79,79,0.8870398437585006,0.895480727789491,0.8869561809664875
80,80,0.8894044415986607,0.8974580367855189,0.889322342745741
81,81,0.8906331307386752,0.8985668149891087,0.8905542803930109
82,82,0.8916104026347851,0.8991106477652622,0.8915352013796436
83,83,0.892643491630358,0.899958065906417,0.8925700635676423
84,84,0.8932693165148965,0.9004989865927383,0.8931967068309941
85,85,0.894009619541366,0.9010865007163741,0.8939368393144289
86,86,0.8950815861703535,0.9020023529685844,0.895009290009361
87,87,0.8963166529219078,0.9028665156262741,0.8962464429032102
88,88,0.8972461913784228,0.9033925118522055,0.8971806329138142
89,89,0.8979446093653342,0.9035472166245384,0.8978794390609567
90,90,0.8985172046554426,0.9039297924262368,0.8984527423998875
91,91,0.8992093106843833,0.9046625470302507,0.899144158124549
92,92,0.8999524663883409,0.9054429871052662,0.8998872528763979
93,93,0.9003901504390462,0.9058856247597527,0.900324969013447
94,94,0.9012393050623209,0.9067796363382218,0.901175070389575
95,95,0.9018644603298118,0.9074450488648674,0.9018011910211191
96,96,0.9024917593344194,0.9079794173490665,0.9024289098714126
97,97,0.9020846410197133,0.907654719332782,0.9020209550434642
98,98,0.9017606520856533,0.907399911472469,0.9016962822303146
99,99,0.902021735310867,0.9077486342298687,0.9019567862434066
100,100,0.9021421758202176,0.9078782222273993,0.9020774319703802
101,101,0.9021369793987151,0.9081592388962014,0.9020717195006835
102,102,0.9017372499235492,0.908390022015399,0.9016699685490898
103,103,0.9017829495778917,0.9085938683036494,0.9017153262936739
104,104,0.9018107954518657,0.9086222611795128,0.9017432970104023
105,105,0.9020638907551506,0.9085916842362752,0.9019965206443518
106,106,0.9017280207254409,0.9081344861326281,0.9016592478318548
107,107,0.9016751604978333,0.9079779613041503,0.9016065095882544
108,108,0.9021321524423016,0.9084788407552797,0.9020633177253488
109,109,0.9024180364493208,0.9088981816911088,0.9023491052462942
110,110,0.9028496933041326,0.9092228797073932,0.9027822896170177
111,111,0.9029498629398914,0.9091952148539878,0.9028831487551106
112,112,0.903107015639249,0.9091915747416977,0.9030406298007598
113,113,0.903649758809427,0.9095475777236776,0.9035852268275711
114,114,0.9038765634399694,0.9095963552283661,0.9038131844211433
115,115,0.9038993324353297,0.9096101876550687,0.9038365228975217
116,116,0.9043854524075137,0.9098773718971683,0.9043238471708942
117,117,0.9051286257157803,0.91026613588976,0.905069003736763
118,118,0.9053732111590658,0.9105005591212477,0.9053146166499046
119,119,0.9053089848594379,0.9105806415916318,0.9052505572393122
