,Epoch,CLARIFY Test AP,CLARIFY Test ROC
0,0,0.7065304528924959,0.6849051661351888
1,1,0.7628420409664114,0.7679454018298391
2,2,0.721545390082148,0.7038510688509432
3,3,0.6957221975520038,0.696113090514259
4,4,0.8256027116577673,0.8358648763919518
5,5,0.7342620297405966,0.7437096274446953
6,6,0.7826924101448168,0.7933614823012283
7,7,0.8254473411440779,0.8408754747312153
8,8,0.8002745298723711,0.820656420089164
9,9,0.8090969780769862,0.825353630272346
10,10,0.8207780980924304,0.832385565495382
11,11,0.815286508632208,0.8256041401217644
12,12,0.8088392604855368,0.8189630537772739
13,13,0.8118564414494872,0.8215993940136641
14,14,0.8159173561681192,0.8239424805304681
15,15,0.8116437513198376,0.8180879081537913
16,16,0.8073728428264655,0.8124338105484646
17,17,0.8067741732471241,0.8108015833560319
18,18,0.8060780781964174,0.8098703154992617
19,19,0.8021481139594528,0.8059616929301772
20,20,0.7987415742204843,0.8014005406999238
21,21,0.7985837945026844,0.7991319047738816
22,22,0.7990878475170609,0.79746241884016
23,23,0.7976396761724138,0.7945801842896276
24,24,0.7947373919544101,0.7911938530167407
25,25,0.7922154998771732,0.7879039797419474
26,26,0.7914201290215979,0.7867833411552163
27,27,0.7913978619411444,0.7874925950760131
28,28,0.7909199167228262,0.7880662592865908
29,29,0.7896496220575419,0.7875874476705327
30,30,0.7882735311170618,0.7862762343011598
31,31,0.7867694559858378,0.7836809656395473
32,32,0.7854140832811664,0.7812780778395977
33,33,0.7857066285637487,0.7802467398266913
34,34,0.7861037880847359,0.7796798316894893
35,35,0.7867995131297614,0.780259649947102
36,36,0.7875218522762228,0.7811195442366279
37,37,0.788055980339772,0.7817425746071176
38,38,0.7881241109625753,0.7818700704076494
39,39,0.7879023923057091,0.7820336877886048
40,40,0.7889979659885962,0.7833919929961592
41,41,0.7910413141187154,0.7851748605573212
42,42,0.7930320126341155,0.786729493243659
43,43,0.79479535680769,0.7877448441126373
44,44,0.7966597066364831,0.7887981895328758
45,45,0.79818883839005,0.790175893366954
46,46,0.7991969819467909,0.7917151409357042
47,47,0.7991874958477749,0.7920599682451173
48,48,0.7987309944021108,0.7914340615265569
49,49,0.7988896615295615,0.7914710527005832
50,50,0.7999465739491917,0.7921177627737949
51,51,0.8016965244086566,0.7932716465928787
52,52,0.8041799828261014,0.7957073782742875
53,53,0.8057398033417571,0.797373854076307
54,54,0.8065864577114257,0.7985147608831645
55,55,0.8075220279913586,0.799814870211148
56,56,0.8080472170196729,0.8003496702768625
57,57,0.8088908368102016,0.8010757140433747
58,58,0.8096169032753803,0.8019603583046724
59,59,0.8103613361739093,0.8028391829780128
60,60,0.8103058974702524,0.802522517122967
61,61,0.8103481887642398,0.8024152226507459
62,62,0.8104068464632965,0.802269064033662
63,63,0.8104004393118762,0.8017883794467672
64,64,0.8103419883881802,0.8012147821280053
65,65,0.810433492784903,0.8011196619662233
66,66,0.8102079635820107,0.8010472850217452
67,67,0.8103277786049531,0.8017889814731076
68,68,0.8111570853575157,0.8030537719224549
69,69,0.8124771367477364,0.8048025915494768
70,70,0.8134264162354611,0.8059544686140926
71,71,0.8137485573422615,0.8058805531578557
72,72,0.8140166066139292,0.8054127117995558
73,73,0.814417208389435,0.8055656933818308
74,74,0.8153579743943736,0.8066169651557857
75,75,0.8169289615902624,0.8083631091101837
76,76,0.8184981953951057,0.810457893207484
77,77,0.8195632203224963,0.8123113316341029
78,78,0.8199586241173311,0.8131015915435902
79,79,0.8201624258090756,0.8136087652894622
80,80,0.820547452128823,0.8140265046778784
81,81,0.8207757439206744,0.8138376690824423
82,82,0.8209426796988356,0.8134302310336285
83,83,0.8208276303797428,0.8127364960140505
84,84,0.8213050936131334,0.8130597172670251
85,85,0.8218606662270733,0.8138044907419053
86,86,0.8225613078785896,0.8147945565045869
87,87,0.8229475001974342,0.815688298052806
88,88,0.8228375370212386,0.8155899001920598
89,89,0.8221810218081009,0.8142485186138517
90,90,0.8215990189353108,0.8131181807138588
91,91,0.8212748292406497,0.8123062478561174
92,92,0.8217328004169535,0.8123887923565665
93,93,0.8223510659338634,0.8128983742078002
94,94,0.8231110450382907,0.8135618072349118
95,95,0.8238436122411152,0.8143943427718577
96,96,0.8245445899992638,0.815068812948543
97,97,0.8247154612485093,0.8154836090970728
98,98,0.8246019993472781,0.815479729371768
99,99,0.8242718126065496,0.8150550332345297
100,100,0.8247513948242431,0.8152391864028738
101,101,0.826106710439222,0.8163846418531922
102,102,0.8270227629482474,0.8175085581388878
103,103,0.8277225796827308,0.8185635758545162
104,104,0.8291762513607573,0.8203432326085293
105,105,0.8302885899294008,0.8218252207831266
106,106,0.8305338447556211,0.8221174042336632
107,107,0.8305260655946146,0.8217326425103375
108,108,0.8311117387214189,0.8218989355639166
109,109,0.8313065269901414,0.8218505058894231
110,110,0.8311675214994785,0.8215960494228841
111,111,0.8311552083705507,0.8216974574153323
112,112,0.8310000824573994,0.8217963235187878
113,113,0.8311667394286149,0.8219426159195029
114,114,0.8316205359225903,0.822211721693658
115,115,0.8319382875966636,0.8224253741526812
116,116,0.832000439405455,0.8223586830125291
117,117,0.8320051036143724,0.8220998785779764
118,118,0.8320141145804285,0.8217860221791855
119,119,0.8320221585401996,0.8219242875620288
