,Epoch,CLARIFY Test AP,CLARIFY Test ROC,CLARIFY Test AUPRC
0,0,0.6639505430713862,0.6413997979009656,0.6637214426411493
1,1,0.5588356180303523,0.5550952835793079,0.55841904249365
2,2,0.5,0.5,0.7497866894197953
3,3,0.5,0.5,0.75
4,4,0.5,0.5,0.75
5,5,0.5,0.5,0.75
6,6,0.5,0.5,0.75
7,7,0.5,0.5,0.75
8,8,0.5,0.5,0.75
9,9,0.5,0.5,0.75
10,10,0.5,0.5,0.75
11,11,0.5,0.5,0.75
12,12,0.5,0.5,0.75
13,13,0.5,0.5,0.75
14,14,0.5,0.5,0.75
15,15,0.5,0.5,0.75
16,16,0.5,0.5,0.75
17,17,0.5,0.5,0.75
18,18,0.5,0.5,0.75
19,19,0.5,0.5,0.75
20,20,0.5,0.5,0.75
21,21,0.5027947712251057,0.5055569954221949,0.7505485473722245
22,22,0.62991073647565,0.6273686210672227,0.6389781099674408
23,23,0.6511273492322666,0.672398630152943,0.6538986846321309
24,24,0.6563828341842426,0.6836305606355345,0.656646592897255
25,25,0.6756520944509503,0.7151138918333353,0.674918474779918
26,26,0.6642239496757563,0.6812754079837854,0.6637695052171677
27,27,0.6589684952894582,0.6733741802467121,0.6585880493599918
28,28,0.6803399945438854,0.709548160141644,0.6799727741828578
29,29,0.6921581685859801,0.7275099302263276,0.6917788782977088
30,30,0.6832635662111577,0.7016447483371967,0.6828883887112484
31,31,0.6900920183087009,0.6967779182052208,0.6897550355047458
32,32,0.7187660733219465,0.7215350499132198,0.7185108211914917
33,33,0.7613269540136891,0.7687349299351187,0.7611414997277562
34,34,0.7855038908062852,0.7912006109564467,0.7853523375063742
35,35,0.770389299407994,0.7713441624247226,0.7702387636996886
36,36,0.7580240447818831,0.7594591957972721,0.7578652989453308
37,37,0.7649961602260988,0.7658162879008492,0.7648475810189084
38,38,0.7828315168513518,0.7839440471059651,0.7826968896467255
39,39,0.7966030737258049,0.8012025474961852,0.7964730806307551
40,40,0.799780292432384,0.8087849013966382,0.799646465735802
41,41,0.7962387585936924,0.8071413906976203,0.7961020361289716
