,Epoch,CLARIFY Test AP,CLARIFY Test ROC,CLARIFY Test AUPRC
0,0,0.6020004386465729,0.5556278763971072,0.6011511539599144
1,1,0.5237308388186793,0.48775147928994084,0.5219832827594989
2,2,0.5039783928239102,0.5077810650887574,0.7392439865937719
3,3,0.5,0.5,0.75
4,4,0.5,0.5,0.75
5,5,0.5,0.5,0.75
6,6,0.5,0.5,0.75
7,7,0.5,0.5,0.75
8,8,0.5,0.5,0.75
9,9,0.5,0.5,0.75
10,10,0.5,0.5,0.75
11,11,0.5,0.5,0.75
12,12,0.5,0.5,0.75
13,13,0.5,0.5,0.75
14,14,0.5,0.5,0.75
15,15,0.5,0.5,0.75
16,16,0.5,0.5,0.75
17,17,0.5,0.5,0.75
18,18,0.5,0.5,0.75
19,19,0.5,0.5,0.75
20,20,0.5,0.5,0.75
21,21,0.5006418485237484,0.5012820512820513,0.7503209242618742
22,22,0.5006418485237484,0.5012820512820513,0.7503209242618742
23,23,0.5006418485237484,0.5012820512820513,0.7503209242618742
24,24,0.5000016457654455,0.5000032873109796,0.7487187716006715
25,25,0.49551054120162624,0.49107166337935565,0.7400261739740351
26,26,0.5115920977651457,0.5151282051282051,0.5677805084289664
27,27,0.5,0.5,0.75
28,28,0.5,0.5,0.75
29,29,0.5,0.5,0.75
30,30,0.5,0.5,0.75
31,31,0.5,0.5,0.75
32,32,0.5,0.5,0.75
33,33,0.5,0.5,0.75
34,34,0.5,0.5,0.75
35,35,0.5,0.5,0.75
36,36,0.5,0.5,0.75
37,37,0.5,0.5,0.75
38,38,0.5,0.5,0.75
39,39,0.5,0.5,0.75
40,40,0.5,0.5,0.75
41,41,0.5,0.5,0.75
42,42,0.5,0.5,0.75
43,43,0.5,0.5,0.75
44,44,0.5,0.5,0.75
45,45,0.5,0.5,0.75
46,46,0.5,0.5,0.75
47,47,0.5,0.5,0.75
48,48,0.5,0.5,0.75
49,49,0.5,0.5,0.75
50,50,0.5,0.5,0.75
51,51,0.5,0.5,0.75
52,52,0.5,0.5,0.75
53,53,0.5,0.5,0.75
54,54,0.5,0.5,0.75
55,55,0.5,0.5,0.75
56,56,0.5,0.5,0.75
57,57,0.5,0.5,0.75
58,58,0.5,0.5,0.75
59,59,0.5,0.5,0.75
60,60,0.5,0.5,0.75
61,61,0.5,0.5,0.75
62,62,0.5,0.5,0.75
63,63,0.5,0.5,0.75
64,64,0.5,0.5,0.75
65,65,0.5,0.5,0.75
66,66,0.5,0.5,0.75
67,67,0.5,0.5,0.75
68,68,0.5,0.5,0.75
69,69,0.5,0.5,0.75
70,70,0.5,0.5,0.75
71,71,0.5,0.5,0.75
72,72,0.5,0.5,0.75
73,73,0.5,0.5,0.75
74,74,0.5,0.5,0.75
75,75,0.5,0.5,0.75
76,76,0.5,0.5,0.75
77,77,0.5,0.5,0.75
78,78,0.5,0.5,0.75
79,79,0.5,0.5,0.75
80,80,0.5,0.5,0.75
81,81,0.5,0.5,0.75
82,82,0.5,0.5,0.75
83,83,0.5,0.5,0.75
84,84,0.5,0.5,0.75
85,85,0.5,0.5,0.75
86,86,0.5,0.5,0.75
87,87,0.5,0.5,0.75
88,88,0.5,0.5,0.75
89,89,0.5,0.5,0.75
90,90,0.5,0.5,0.75
91,91,0.5,0.5,0.75
92,92,0.5,0.5,0.75
93,93,0.5,0.5,0.75
94,94,0.5,0.5,0.75
95,95,0.5,0.5,0.75
96,96,0.5,0.5,0.75
97,97,0.5,0.5,0.75
98,98,0.5,0.5,0.75
99,99,0.5,0.5,0.75
100,100,0.5,0.5,0.75
101,101,0.5,0.5,0.75
102,102,0.5,0.5,0.75
103,103,0.5,0.5,0.75
104,104,0.5,0.5,0.75
105,105,0.5,0.5,0.75
106,106,0.5,0.5,0.75
107,107,0.5,0.5,0.75
108,108,0.5,0.5,0.75
109,109,0.5,0.5,0.75
110,110,0.5,0.5,0.75
111,111,0.5,0.5,0.75
112,112,0.5,0.5,0.75
113,113,0.5,0.5,0.75
114,114,0.5,0.5,0.75
115,115,0.5,0.5,0.75
116,116,0.5,0.5,0.75
117,117,0.5,0.5,0.75
118,118,0.5,0.5,0.75
119,119,0.5,0.5,0.75
