,Epoch,CLARIFY Test AP,CLARIFY Test ROC,CLARIFY Test AUPRC
0,0,0.6832057996467609,0.653214990138067,0.6825695822752293
1,1,0.66540026754165,0.6512163050624591,0.6647841678316182
2,2,0.5,0.5,0.75
3,3,0.5,0.5,0.75
4,4,0.5,0.5,0.75
5,5,0.5,0.5,0.75
6,6,0.5,0.5,0.75
7,7,0.5,0.5,0.75
8,8,0.5,0.5,0.75
9,9,0.5006418485237484,0.5012820512820513,0.7503209242618742
10,10,0.5957613564486395,0.6316568047337278,0.6498502683489561
11,11,0.7250991941710628,0.7435207100591716,0.7244147041521934
12,12,0.7202254345750765,0.7224589086127549,0.7196027341168479
13,13,0.7063163942697941,0.7053057199211046,0.705679791550248
14,14,0.7289707673965368,0.7341683103221566,0.7283549251570902
15,15,0.7537827405706236,0.7650624589086128,0.753208698405337
16,16,0.7650509495815538,0.7731032215647601,0.7645064711653199
17,17,0.7379691100285453,0.7323175542406312,0.7374209075444997
18,18,0.7362160073749957,0.7303780407626561,0.7356793884554185
19,19,0.7657939512336598,0.7626561472715319,0.7653315267983073
20,20,0.7977800857365647,0.7937738330046022,0.797411930271686
21,21,0.8088354162514413,0.8056936226166995,0.8085085140752113
22,22,0.810807728745286,0.8078763971071663,0.8104877224343594
23,23,0.8113827297335616,0.8095266272189348,0.8110567362059655
24,24,0.8133174128135039,0.8123405654174886,0.812987804123029
25,25,0.8166812591684409,0.8157922419460881,0.8163558056411495
26,26,0.821110361275365,0.8200328731097961,0.8207900333105771
27,27,0.8270025930936555,0.8266206443129521,0.8266906826898188
28,28,0.8349684237755828,0.8347468770545693,0.8346738889467473
29,29,0.8424432600831123,0.8424457593688364,0.8421641397321258
30,30,0.8490858685051458,0.8494674556213019,0.8488161943782451
31,31,0.8543717454012689,0.8557527942143326,0.8541020167135289
32,32,0.8604406084624844,0.8621104536489151,0.8601809919882606
33,33,0.8655509076047133,0.8668178829717291,0.8653053478788255
34,34,0.86950299027943,0.8701972386587771,0.8692748428733512
35,35,0.8724971853665365,0.8733333333333333,0.872277953083543
36,36,0.8730221996778388,0.8743918474687706,0.8728050620900488
37,37,0.872922268078903,0.8747731755424062,0.8727036080127855
38,38,0.8722949755720399,0.8746877054569362,0.8720731696905387
39,39,0.8744259288473499,0.8766337935568704,0.8742104374237976
40,40,0.878447853932545,0.8797896120973044,0.8782447679434435
41,41,0.8824906448592054,0.8834188034188034,0.8822967761927283
42,42,0.8857952944242229,0.8871794871794872,0.8856076804519226
43,43,0.8891016764383852,0.8907955292570678,0.8889201384403804
44,44,0.8911141501023938,0.8933333333333334,0.8909363634279991
45,45,0.8932744762073997,0.8960157790927021,0.8930994087210781
46,46,0.8973724302334122,0.8991913214990138,0.8972064794005441
47,47,0.9014591870933568,0.9023405654174885,0.9013022233982376
48,48,0.9047905677174484,0.9051545036160421,0.9046406601829606
49,49,0.9082716250662773,0.9078829717291257,0.9081303778531803
50,50,0.9102523315512524,0.9099474030243262,0.91011514595252
51,51,0.9115114041389474,0.9112031558185404,0.9113766117625514
52,52,0.9125324464673129,0.9117554240631165,0.9123999331622373
53,53,0.9133585283916625,0.9121170282708744,0.9132278688892016
54,54,0.9143554097284792,0.9125312294543064,0.914226527934142
55,55,0.9157121470610399,0.9136752136752136,0.9155858915895141
56,56,0.9174075789458357,0.9148980933596318,0.9172846538725026
57,57,0.9188186987738842,0.9158645627876398,0.9186996671147089
58,58,0.9183347113501001,0.9152005259697567,0.918216001602657
59,59,0.9179815699729638,0.9148980933596318,0.9178622056489494
60,60,0.9176765367540847,0.9146942800788955,0.9175561623109606
61,61,0.9192477292707816,0.9160223537146615,0.9191304252638056
62,62,0.9212285520892285,0.917508218277449,0.9211156593220098
63,63,0.9209661416562774,0.9175476660092046,0.9208522883180214
64,64,0.9188146744409252,0.9161998685075609,0.9186954039743989
65,65,0.9167193679300868,0.9149638395792242,0.9165943105485723
66,66,0.916613898170977,0.9153780407626563,0.9164877792809035
67,67,0.9184883794693443,0.9172715318869165,0.91836561952295
68,68,0.9198044369505214,0.918974358974359,0.9196831316987853
69,69,0.9202159660978507,0.9196712689020381,0.9200952976573521
70,70,0.9201136324270438,0.919921104536489,0.9199922285574773
71,71,0.9201963534585108,0.9202038132807364,0.9200744058421524
72,72,0.9192389644624667,0.9196581196581196,0.9191137573703541
73,73,0.9187042347617195,0.9195069033530573,0.9185771472342461
74,74,0.9180564335324141,0.9192307692307692,0.9179279186849724
75,75,0.9185777443074767,0.9199211045364891,0.9184504867832359
76,76,0.9189271058318497,0.9204536489151876,0.9188003004921682
77,77,0.9196225869283681,0.9215581854043392,0.9194958207870104
78,78,0.9210606574538154,0.9230243261012492,0.9209359227693757
79,79,0.9221032726598757,0.9241814595660751,0.9219795176985341
80,80,0.9222316518723453,0.9241091387245233,0.9221087992270993
81,81,0.9223703945869544,0.9243984220907298,0.9222472952405669
82,82,0.9235586238348621,0.9254569362261669,0.9234382405728517
83,83,0.925489055641809,0.9267915844838922,0.9253734466594988
84,84,0.9277383878613027,0.9283563445101908,0.9276279349156379
85,85,0.9295733047387378,0.9299342537804076,0.9294659738643201
86,86,0.9294597399868217,0.9300065746219592,0.9293520403244487
87,87,0.928646939084946,0.929585798816568,0.9285365120732654
88,88,0.9282131773863689,0.9294937541091388,0.9281015493469539
89,89,0.9294389468395201,0.9304799474030245,0.9293308352930909
90,90,0.9309937030820676,0.9317685733070348,0.9308893135763674
91,91,0.9326595795294927,0.9331755424063116,0.9325579204369645
92,92,0.9326590158890308,0.9332807363576595,0.9325562735807631
